 Abastecimento de água - Brasil
Domicílios por Município e Abastecimento de água
Município de extrema pobreza: Sim
Período:2010
"Município";"Rede geral - sem informação de canalização";"Poço ou nascente - sem informação de canalização";"Outra forma - Poço ou nascente fora da propriedade";"Outra forma - Carro-pipa";"Outra forma - Água da chuva armazenada em cisterna";"Outra forma - Água da chuva armazenada outra forma";"Outra forma - Rio, açude, lago ou igarapé";"Outra forma - Poço ou nascente na aldeia";"Outra forma - Poço ou nascente fora da aldeia";"Outra forma - Outra";"Total"
"110037 Alto Alegre dos Parecis";257;3202;180;9;-;-;44;-;-;4;3696
"110045 Buritis";32;8508;896;1;-;-;35;-;-;4;9476
"110070 Campo Novo de Rondônia";799;2538;104;-;-;-;167;-;-;29;3637
"110100 Governador Jorge Teixeira";15;2847;139;-;-;-;2;-;-;4;3007
"110010 Guajará-Mirim";4780;5192;431;1;-;-;237;1;-;42;10684
"110110 Itapuã do Oeste";754;1638;114;-;-;-;22;-;-;5;2533
"110120 Ministro Andreazza";552;2143;211;-;-;-;18;-;-;1;2925
"110130 Mirante da Serra";510;2887;90;-;-;-;11;15;-;2;3515
"110018 Pimenta Bueno";7079;2678;244;-;-;-;27;-;-;9;10037
"110147 Primavera de Rondônia";550;489;38;-;-;-;1;-;-;1;1079
"110149 São Francisco do Guaporé";1;4551;98;-;-;-;44;32;-;2;4728
"110032 São Miguel do Guaporé";470;5757;131;-;-;-;22;11;-;-;6391
"110175 Vale do Anari";401;2241;107;-;-;5;47;-;-;5;2806
"110180 Vale do Paraíso";125;2227;78;-;-;-;1;-;-;1;2432
"120005 Assis Brasil";765;492;150;-;-;-;86;29;-;17;1539
"120013 Bujari";935;973;105;1;-;-;308;-;-;8;2330
"120030 Feijó";950;3943;908;1;-;6;948;162;-;119;7037
"120032 Jordão";470;133;7;-;1;-;690;-;-;2;1303
"120033 Mâncio Lima";1935;943;146;-;-;1;492;5;-;64;3586
"120034 Manoel Urbano";1079;415;114;2;1;-;142;72;-;33;1858
"120080 Porto Acre";984;2411;326;-;1;1;277;-;-;20;4020
"120039 Porto Walter";655;100;21;-;-;7;843;5;-;71;1702
"120042 Rodrigues Alves";1351;887;248;-;-;3;499;-;-;143;3131
"120043 Santa Rosa do Purus";390;151;20;-;1;1;77;171;-;5;816
"120060 Tarauacá";3162;1363;500;8;2;28;2229;22;23;155;7492
"120070 Xapuri";2309;1586;113;3;-;4;443;-;-;32;4490
"130006 Amaturá";1094;7;4;2;127;45;338;1;-;34;1652
"130008 Anamã";997;104;94;-;9;16;656;-;-;7;1883
"130040 Barcelos";2197;37;147;-;1;10;1808;137;75;31;4443
"130050 Barreirinha";2789;47;112;-;-;2;1717;340;-;136;5143
"130063 Beruri";1527;49;247;-;5;13;945;4;-;96;2886
